"","long_label","cue_value","transmission_investment"
"401","Asexual iRBC log",2.59149238032974,8.0022240536379e-126
"402","Asexual iRBC log",2.59959586604505,8.17904484891653e-126
"403","Asexual iRBC log",2.60772469101323,8.37048687053096e-126
"404","Asexual iRBC log",2.61587893446904,8.57737844580931e-126
"405","Asexual iRBC log",2.624058675895,8.80062702342406e-126
"406","Asexual iRBC log",2.63226399502218,9.04122570176274e-126
"407","Asexual iRBC log",2.64049497183094,9.30026046341491e-126
"408","Asexual iRBC log",2.64875168655177,9.57891818843935e-126
"409","Asexual iRBC log",2.65703421966601,9.87849552779217e-126
"410","Asexual iRBC log",2.66534265190666,1.02004087280847e-125
"411","Asexual iRBC log",2.6736770642592,1.05462045098474e-125
"412","Asexual iRBC log",2.68203753796232,1.091757211378e-125
"413","Asexual iRBC log",2.69042415450874,1.13163566433029e-125
"414","Asexual iRBC log",2.69883699564602,1.17445738473375e-125
"415","Asexual iRBC log",2.70727614337733,1.2204426504686e-125
"416","Asexual iRBC log",2.71574167996226,1.26983225911839e-125
"417","Asexual iRBC log",2.72423368791763,1.32288954330104e-125
"418","Asexual iRBC log",2.73275225001828,1.37990260746593e-125
"419","Asexual iRBC log",2.74129744929789,1.44118681183874e-125
"420","Asexual iRBC log",2.74986936904977,1.50708753240321e-125
"421","Asexual iRBC log",2.7584680928277,1.57798322942694e-125
"422","Asexual iRBC log",2.76709370444672,1.65428886113633e-125
"423","Asexual iRBC log",2.77574628798395,1.7364596837946e-125
"424","Asexual iRBC log",2.78442592777943,1.82499548468719e-125
"425","Asexual iRBC log",2.79313270843693,1.92044530049691e-125
"426","Asexual iRBC log",2.80186671482474,2.02341268030714e-125
"427","Asexual iRBC log",2.81062803207658,2.13456156018566e-125
"428","Asexual iRBC log",2.81941674559233,2.25462282501257e-125
"429","Asexual iRBC log",2.82823294103895,2.38440164318976e-125
"430","Asexual iRBC log",2.83707670435126,2.52478567115879e-125
"431","Asexual iRBC log",2.84594812173278,2.67675423755282e-125
"432","Asexual iRBC log",2.85484727965662,2.8413886315047e-125
"433","Asexual iRBC log",2.86377426486625,3.01988363637621e-125
"434","Asexual iRBC log",2.87272916437642,3.2135604693007e-125
"435","Asexual iRBC log",2.88171206547394,3.42388130878669e-125
"436","Asexual iRBC log",2.89072305571857,3.65246561758371e-125
"437","Asexual iRBC log",2.89976222294389,3.9011084965877e-125
"438","Asexual iRBC log",2.90882965525809,4.17180133823546e-125
"439","Asexual iRBC log",2.91792544104491,4.46675508532596e-125
"440","Asexual iRBC log",2.92704966896444,4.78842644409245e-125
"441","Asexual iRBC log",2.936202427954,5.13954744963138e-125
"442","Asexual iRBC log",2.94538380722904,5.52315883832598e-125
"443","Asexual iRBC log",2.95459389628396,5.94264774683362e-125
